metodo,h,estado,error_inf,tiempo_s
euler_progresivo,1.00000000e-02,no_finito,NaN,3.34288480e-02
euler_progresivo,5.00000000e-03,no_finito,NaN,3.84112240e-02
euler_progresivo,2.50000000e-03,no_finito,NaN,9.68721780e-02
euler_progresivo,1.25000000e-03,no_finito,NaN,9.42283600e-02
heun,1.00000000e-02,no_finito,NaN,6.80172790e-02
heun,5.00000000e-03,no_finito,NaN,7.42099870e-02
heun,2.50000000e-03,no_finito,NaN,1.52550528e-01
heun,1.25000000e-03,no_finito,NaN,3.27262294e-01
rk4,1.00000000e-02,no_finito,NaN,1.52362152e-01
rk4,5.00000000e-03,no_finito,NaN,2.34052986e-01
rk4,2.50000000e-03,no_finito,NaN,3.07506686e-01
rk4,1.25000000e-03,no_finito,NaN,7.98331750e-01
euler_implicito,1.00000000e-01,finito,2.21503276e-06,3.31880800e-02
euler_implicito,5.00000000e-02,finito,4.41520198e-06,6.99302070e-02
euler_implicito,2.50000000e-02,finito,8.77211475e-06,1.18563412e-01
euler_implicito,1.25000000e-02,finito,1.73161903e-05,2.14311916e-01
euler_implicito,6.25000000e-03,finito,3.37554201e-05,7.74543779e-01
crank_nicolson,1.00000000e-01,finito,6.57894115e-04,5.04521160e-02
crank_nicolson,5.00000000e-02,finito,6.49150668e-04,4.08218650e-02
crank_nicolson,2.50000000e-02,finito,6.32047730e-04,1.27532441e-01
crank_nicolson,1.25000000e-02,finito,5.99161908e-04,2.29861283e-01
crank_nicolson,6.25000000e-03,finito,5.38154879e-04,7.36123080e-01
euler_progresivo,1.00000000e-05,finito,3.70718285e-06,2.19316907e+01
euler_progresivo,5.00000000e-06,finito,1.83256233e-06,5.43357862e+01
rk4,1.00000000e-05,finito,1.83965465e-08,1.55459429e+02
rk4,5.00000000e-06,finito,1.83961552e-08,1.73173949e+02
